Inicio del algoritmo Branch & Bound 4 threads
Mejor costo: 1369.65607090469, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 39, 41, 43, 44, 48, 49, 45, 46, 42, 47], Tiempo actual: 13.93 segundos
Mejor costo: 1364.3190320559438, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 39, 41, 43, 44, 48, 49, 45, 42, 47, 46], Tiempo actual: 16.90 segundos
Mejor costo: 1364.1235806629709, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 39, 41, 43, 44, 48, 49, 45, 47, 42, 46], Tiempo actual: 17.19 segundos
Mejor costo: 1362.4376902916358, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 39, 40, 46, 43, 44, 48, 49, 45, 42, 47], Tiempo actual: 27.01 segundos
Mejor costo: 1360.9402094807583, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 39, 40, 46, 42, 47, 45, 49, 48, 44, 43], Tiempo actual: 31.13 segundos
Mejor costo: 1354.2553830365146, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 43, 44, 41, 39, 40, 46, 48, 49, 45, 42, 47], Tiempo actual: 55.70 segundos
Mejor costo: 1351.95500047257, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 43, 44, 48, 49, 45, 42, 47, 46, 40, 39, 41], Tiempo actual: 63.34 segundos
Mejor costo: 1351.759549079597, Mejor ruta actual: [3, 0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 43, 44, 48, 49, 45, 47, 42, 46, 40, 39, 41], Tiempo actual: 63.53 segundos
Mejor costo: 1346.138316573829, Mejor ruta actual: [1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45, 48, 49], Tiempo actual: 67.94 segundos
Mejor costo: 1345.7025850030896, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45, 48, 49], Tiempo actual: 72.88 segundos
