Inicio del algoritmo Branch & Bound 4 nodos spark
Mejor costo: 1354.2553830365146, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 43, 44, 41, 39, 40, 46, 48, 49, 45, 42, 47], Tiempo actual: 17.99 segundos
Mejor costo: 1352.066112551256, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 41, 39, 40, 46, 43, 48, 49, 45, 42, 47], Tiempo actual: 21.36 segundos
Mejor costo: 1351.756215594947, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 39, 41, 40, 46, 48, 49, 45, 42, 47], Tiempo actual: 22.29 segundos
Mejor costo: 1345.7025850030896, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 41, 39, 40, 46, 42, 47, 45, 48, 49], Tiempo actual: 22.48 segundos
Mejor costo: 1338.6620170328863, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 44, 43, 41, 39, 40, 46, 48, 49, 45, 42, 47], Tiempo actual: 22.49 segundos
Mejor costo: 1335.2320037292277, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 49, 48, 44, 43, 41, 39, 40, 46, 42, 47, 45], Tiempo actual: 35.83 segundos
Mejor costo: 1335.2265038439668, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 49, 48, 44, 43, 41, 39, 40, 46, 45, 42, 47], Tiempo actual: 35.83 segundos
Mejor costo: 1332.4726087598954, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 42, 47, 46, 40, 39, 41, 43, 44, 38, 48, 49], Tiempo actual: 107.93 segundos
Mejor costo: 1332.2771573669224, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 47, 42, 46, 40, 39, 41, 43, 44, 38, 48, 49], Tiempo actual: 115.17 segundos
Mejor costo: 1331.035704703708, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 48, 49, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 118.72 segundos
Mejor costo: 1327.1976369042889, Mejor ruta actual: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 45, 49, 48, 38, 44, 43, 41, 39, 40, 46, 42, 47], Tiempo actual: 120.82 segundos
